Stagione;Calciatore;Squadra;Età;Partite Giocate;Minuti Giocati;Reti;Assist;Reti Non Su Rigore;Rigori Tirati;Ammonizioni;Espulsioni;Ruolo?
2022-23;Luca Ranieri;Fiorentina;23;9;508;0;0;0;0;1;0;Dif
2022-23;Andrea Ranocchia;Monza;34;1;47;0;0;0;0;0;0;Dif
2022-23;Filippo Ranocchia;Monza;21;14;530;1;0;1;0;1;0;Cen
2022-23;Giacomo Raspadori;Sassuolo;22;1;45;0;0;0;0;0;0;Att
2022-23;Giacomo Raspadori;Napoli;22;25;911;2;2;2;0;1;0;Att,Cen
2022-23;Nicola Ravaglia;Sampdoria;33;9;810;0;0;0;0;0;0;Por
2022-23;Ante Rebić;Milan;28;23;980;3;2;3;0;4;0;Att,Cen
2022-23;Arkadiusz Reca;Spezia;27;30;2.173;1;1;1;0;5;0;Dif
2022-23;Panagiōtīs Retsos;Hellas Verona;23;2;122;0;0;0;0;0;0;Dif
2022-23;Franck Ribéry;Salernitana;39;1;37;0;0;0;0;0;0;Cen
2022-23;Samuele Ricci;Torino;20;28;2.070;2;1;2;0;6;0;Cen
2022-23;Tomás Rincón;Sampdoria;34;34;2.555;0;2;0;0;7;1;Cen
2022-23;Pablo Rodríguez;Lecce;20;4;54;0;0;0;0;0;0;Att,Cen
2022-23;Ricardo Rodríguez;Torino;29;35;2.670;0;0;0;0;3;0;Dif
2022-23;Rogério Oliveira da Silva;Sassuolo;24;36;2.996;0;3;0;0;5;1;Dif
2022-23;Filippo Romagna;Sassuolo;25;2;46;0;0;0;0;0;0;Dif
2022-23;Alessio Romagnoli;Lazio;27;34;2.922;2;0;2;0;6;0;Dif
2022-23;Simone Romagnoli;Lecce;32;7;167;0;0;0;0;0;0;Dif
2022-23;Luka Romero;Lazio;17;6;151;1;0;1;0;0;0;Att
2022-23;Marten de Roon;Atalanta;31;35;2.964;3;1;3;0;7;0;Cen
2022-23;Francesco Rossi;Atalanta;31;1;4;0;0;0;0;0;0;Por
2022-23;Nicolò Rovella;Monza;20;25;1.740;1;2;1;0;5;1;Cen
2022-23;Nicolò Rovella;Juventus;20;3;27;0;0;0;0;1;0;Cen
2022-23;Amir Rrahmani;Napoli;28;29;2.448;2;1;2;0;2;0;Dif
2022-23;Ruan;Sassuolo;23;23;1.711;0;0;0;0;13;3;Dif
2022-23;Daniele Rugani;Juventus;28;9;564;0;0;0;0;0;0;Dif
2022-23;Matteo Ruggeri;Atalanta;20;15;829;0;1;0;0;3;0;Dif,Cen
2022-23;Mário Rui;Napoli;31;22;1.749;0;6;0;0;2;1;Dif
2022-23;Alessandro Russo;Sassuolo;21;1;90;0;0;0;0;0;0;Por
2022-23;Abdelhamid Sabiri;Sampdoria;25;18;1.069;2;0;2;1;5;0;Cen,Att
2022-23;Alexis Saelemaekers;Milan;23;30;1.403;2;3;2;0;1;0;Att,Dif
2022-23;Jacopo Sala;Spezia;30;6;112;0;0;0;0;1;0;Cen
2022-23;Lazar Samardzic;Udinese;20;37;1.848;5;4;5;0;1;0;Cen
2022-23;Junior Sambia;Salernitana;25;22;697;0;1;0;0;3;0;Dif
2022-23;Antonio Sanabria;Torino;26;33;2.433;12;4;12;1;4;0;Att
2022-23;Leandro Sanca;Spezia;22;4;32;0;0;0;0;0;0;Att,Cen
2022-23;Alex Sandro Lobo Silva;Juventus;31;25;1.787;0;1;0;0;5;1;Dif
2022-23;Nicola Sansone;Bologna;30;18;740;4;2;4;0;2;0;Att
2022-23;Riccardo Saponara;Fiorentina;30;29;1.208;4;3;4;0;4;0;Att
2022-23;Mouhamadou Sarr;Cremonese;25;2;180;0;0;0;0;0;0;Por
2022-23;Martin Satriano;Empoli;21;31;1.705;2;1;2;0;4;0;Att
2022-23;Giorgio Scalvini;Atalanta;18;32;2.335;2;2;2;0;7;0;Dif
2022-23;Jerdy Schouten;Bologna;25;33;2.509;0;2;0;0;3;0;Cen
2022-23;Perr Schuurs;Torino;22;30;2.326;0;2;0;0;5;0;Dif
2022-23;Demba Seck;Torino;21;19;519;0;0;0;0;0;0;Cen,Att
2022-23;Telasco Segovia;Sampdoria;19;1;4;0;0;0;0;0;0;Cen
